Flight_Name,Arrival_Location,Destination_Location,No of Stops,Price_final,Arrival_time_hour,Arrival_time_min,Destination_time_hour,Destination_time_min,Durations,Day,Flight_Date,Month
Spice Jet,DEL,BLR,Non Stop,9419.0,20,0,22,30,150, Wed,20,Jul
Go Air,DEL,BLR,Non Stop,9419.0,20,30,23,25,175, Wed,20,Jul
Air Asia,DEL,BLR,Non Stop,9419.0,8,10,10,40,150, Wed,20,Jul
Spice Jet,DEL,BLR,Non Stop,9419.0,6,5,8,55,170, Wed,20,Jul
Air Asia,DEL,BLR,Non Stop,9945.0,9,35,12,25,170, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,18,25,0,20,355, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,8,10,21,15,785, Wed,20,Jul
Air Asia,DEL,BLR,Non Stop,9419.0,21,40,0,30,170, Wed,20,Jul
Air Asia,DEL,BLR,Non Stop,9663.0,18,45,21,40,175, Wed,20,Jul
Indigo Air,DEL,BLR,Non Stop,9419.0,2,25,5,15,170, Wed,20,Jul
Indigo Air,DEL,BLR,Non Stop,9419.0,22,55,1,45,170, Wed,20,Jul
Indigo Air,DEL,BLR,Non Stop,9419.0,6,55,9,50,175, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,14,55,21,15,380, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,14,55,0,20,565, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,10,55,17,40,405, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,14,30,22,20,470, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,22,45,8,20,575, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,8,0,17,40,580, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,10,55,22,20,685, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,20,50,8,20,690, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,19,45,8,20,755, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,18,20,8,20,840, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,8,0,22,20,860, Wed,20,Jul
Air India,DEL,BLR,Non Stop,9420.0,6,10,8,55,165, Wed,20,Jul
Air India,DEL,BLR,Non Stop,9420.0,21,15,0,5,170, Wed,20,Jul
Go Air,DEL,BLR,Non Stop,9466.0,10,50,15,5,255, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,17,5,0,15,430, Wed,20,Jul
Go Air,DEL,BLR,1 Stop,9419.0,20,20,10,45,865, Wed,20,Jul
Indigo Air,DEL,BLR,Non Stop,9419.0,6,0,8,35,155, Wed,20,Jul
Indigo Air,DEL,BLR,Non Stop,9419.0,21,30,0,15,165, Wed,20,Jul
Indigo Air,DEL,BLR,Non Stop,9419.0,20,10,23,0,170, Wed,20,Jul
Indigo Air,DEL,BLR,1 Stop,9419.0,13,25,18,0,275, Wed,20,Jul
Indigo Air,DEL,BLR,1 Stop,9419.0,5,15,10,15,300, Wed,20,Jul
Indigo Air,DEL,BLR,1 Stop,9419.0,6,50,12,5,315, Wed,20,Jul
Indigo Air,DEL,BLR,1 Stop,9419.0,15,15,20,30,315, Wed,20,Jul
Indigo Air,DEL,BLR,1 Stop,9419.0,18,0,23,40,340, Wed,20,Jul
